usuario_id,region,mes,entrante
1,1,1,11700
1,1,3,6400
1,1,4,4750
1,1,5,7650
1,1,6,7750
1,1,7,15350
1,1,8,13350
1,1,9,8700
1,1,11,7600
1,1,12,9500
1,2,1,29100
1,2,3,19200
1,2,4,30150
1,2,5,34450
1,2,6,33000
1,2,7,32050
1,2,9,43400
1,2,10,38700
1,2,11,40850
1,2,12,36200
2,1,1,11750
2,1,2,14200
2,1,3,18250
2,1,4,15600
2,1,5,16650
2,1,6,8500
2,1,7,20700
2,1,8,15200
2,1,10,1900
2,1,11,8450
2,1,12,8700
2,2,1,28000
2,2,2,32750
2,2,3,20600
2,2,5,35900
2,2,6,43650
2,2,7,44750
2,2,8,40250
2,2,9,46150
2,2,11,41850
2,2,12,31050
3,1,1,19300
3,1,2,11850
3,1,3,15500
3,1,4,12900
3,1,5,8500
3,1,6,9900
3,1,7,5300
3,1,8,10200
3,1,9,9700
3,1,10,4050
3,1,11,6750
3,1,12,3750
3,2,1,26400
3,2,2,35650
3,2,3,36150
3,2,4,32200
3,2,5,45050
3,2,6,41400
3,2,7,45650
3,2,8,40900
3,2,9,44900
3,2,10,42400
3,2,11,46200
3,2,12,36900
4,1,1,15650
4,1,2,10200
4,1,3,12800
4,1,4,19250
4,1,5,18100
4,1,7,22600
4,1,8,9100
4,1,9,9850
4,1,10,5100
4,1,12,7450
4,2,1,22050
4,2,2,29700
4,2,3,17300
4,2,4,26650
4,2,5,35750
4,2,6,47300
4,2,7,46600
4,2,8,37850
4,2,9,28450
4,2,11,27000
4,2,12,35600
5,1,1,12750
5,1,2,11600
5,1,5,11350
5,1,6,14500
5,1,7,12700
5,1,8,11050
5,1,9,6100
5,1,12,9300
5,2,1,27350
5,2,2,25750
5,2,3,36050
5,2,4,35050
5,2,5,52100
5,2,6,36200
5,2,7,32250
5,2,8,34000
5,2,9,45750
5,2,11,55250
5,2,12,40350
6,1,1,12500
6,1,2,17100
6,1,3,8250
6,1,4,7500
6,1,5,16950
6,1,6,13850
6,1,7,8700
6,1,8,18450
6,1,9,11700
6,1,10,6900
6,1,11,12600
6,1,12,4750
6,2,1,29150
6,2,2,27400
6,2,3,26750
6,2,4,26400
6,2,5,37850
6,2,6,35050
6,2,7,43200
6,2,8,38450
6,2,9,37500
6,2,10,52900
6,2,11,45900
6,2,12,39150
7,1,1,15950
7,1,2,7350
7,1,3,9450
7,1,4,11400
7,1,5,17900
7,1,7,15300
7,1,8,10450
7,1,9,9250
7,1,10,8900
7,1,11,14050
7,2,1,26100
7,2,2,33500
7,2,3,25850
7,2,4,28800
7,2,5,31250
7,2,6,39550
7,2,7,39300
7,2,8,40700
7,2,9,44550
7,2,10,43850
7,2,11,42450
7,2,12,42650
8,1,1,18850
8,1,3,9300
8,1,4,12750
8,1,5,14350
8,1,6,7350
8,1,7,10250
8,1,8,17350
8,1,9,7100
8,1,10,10000
8,1,11,9500
8,1,12,2050
8,2,2,33650
8,2,3,21900
8,2,4,37200
8,2,5,29400
8,2,6,44550
8,2,7,40450
8,2,8,50000
