compra_id,id_fruta,cantidad,mes,region,ano
1,0,8,enero,1,9999
1,1,14,enero,1,9999
2,2,14,enero,1,9999
3,3,11,enero,1,9999
4,1,13,enero,1,9999
4,2,11,enero,1,9999
4,3,12,enero,1,9999
4,4,12,enero,1,9999
5,1,1,enero,1,9999
5,2,6,enero,1,9999
5,3,3,enero,1,9999
6,0,8,enero,1,9999
6,1,4,enero,1,9999
6,3,7,enero,1,9999
7,0,15,enero,1,9999
7,1,1,enero,1,9999
7,2,12,enero,1,9999
7,4,12,enero,1,9999
8,0,1,enero,1,9999
8,2,13,enero,1,9999
8,3,4,enero,1,9999
9,0,8,enero,1,9999
9,1,13,enero,1,9999
9,3,9,enero,1,9999
9,4,12,enero,1,9999
10,0,12,enero,1,9999
10,4,13,enero,1,9999
11,0,3,enero,1,9999
11,1,7,enero,1,9999
11,2,3,enero,1,9999
11,4,14,enero,1,9999
12,0,12,enero,1,9999
13,2,6,enero,1,9999
13,3,9,enero,1,9999
13,4,8,enero,1,9999
14,0,15,enero,1,9999
14,4,5,enero,1,9999
15,0,2,enero,1,9999
15,1,13,enero,1,9999
15,2,1,enero,1,9999
15,3,5,enero,1,9999
16,0,15,enero,1,9999
16,3,13,enero,1,9999
17,2,12,enero,1,9999
17,3,3,enero,1,9999
17,4,14,enero,1,9999
18,3,11,enero,1,9999
18,4,12,enero,1,9999
19,0,3,enero,1,9999
19,3,2,enero,1,9999
19,4,6,enero,1,9999
20,1,11,enero,1,9999
20,2,2,enero,1,9999
21,2,12,enero,1,9999
21,3,4,enero,1,9999
21,4,1,enero,1,9999
22,0,9,enero,1,9999
22,3,3,enero,1,9999
22,4,3,enero,1,9999
23,1,14,enero,1,9999
23,2,12,enero,1,9999
24,0,2,enero,1,9999
24,2,15,enero,1,9999
24,4,12,enero,1,9999
25,0,3,enero,1,9999
25,4,8,enero,1,9999
26,3,3,enero,1,9999
26,4,15,enero,1,9999
27,0,1,enero,1,9999
27,2,15,enero,1,9999
27,3,1,enero,1,9999
27,4,4,enero,1,9999
28,2,6,enero,1,9999
28,4,14,enero,1,9999
29,0,3,enero,1,9999
29,1,14,enero,1,9999
29,2,10,enero,1,9999
29,4,13,enero,1,9999
30,1,6,enero,1,9999
31,1,11,enero,1,9999
31,3,6,enero,1,9999
31,4,8,enero,1,9999
32,1,6,enero,1,9999
32,2,14,enero,1,9999
32,4,7,enero,1,9999
33,1,13,enero,1,9999
34,1,11,enero,1,9999
35,1,6,enero,1,9999
35,3,12,enero,1,9999
36,0,11,enero,1,9999
36,1,8,enero,1,9999
36,3,9,enero,1,9999
36,4,6,enero,1,9999
37,2,2,enero,1,9999
37,3,3,enero,1,9999
38,1,7,enero,1,9999
38,2,3,enero,1,9999
38,4,9,enero,1,9999
39,3,14,enero,1,9999
40,0,5,enero,1,9999
40,1,13,enero,1,9999
40,2,4,enero,1,9999
40,3,9,enero,1,9999
40,4,14,enero,1,9999
41,0,14,enero,1,9999
41,1,13,enero,1,9999
41,3,1,enero,1,9999
41,4,13,enero,1,9999
42,0,2,enero,1,9999
42,1,2,enero,1,9999
42,2,7,enero,1,9999
42,4,12,enero,1,9999
43,0,5,enero,1,9999
43,1,6,enero,1,9999
43,3,11,enero,1,9999
43,4,5,enero,1,9999
44,3,13,enero,1,9999
44,4,4,enero,1,9999
45,0,6,enero,1,9999
45,1,14,enero,1,9999
45,3,3,enero,1,9999
45,4,13,enero,1,9999
46,2,7,enero,1,9999
46,3,6,enero,1,9999
46,4,11,enero,1,9999
47,0,1,enero,1,9999
47,1,9,enero,1,9999
