usuario_id,region,fruta,mes,entrante
1,1,manzana,1,15
1,1,limon,1,110
1,1,naranja,1,24
1,1,melon,1,264
1,1,naranja,3,80
1,1,melon,3,143
1,1,manzana,4,1
1,1,limon,4,110
1,1,kiwi,4,40
1,1,melon,4,55
1,1,manzana,5,14
1,1,kiwi,5,45
1,1,naranja,5,120
1,1,manzana,6,29
1,1,kiwi,6,85
1,1,manzana,7,24
1,1,kiwi,7,75
1,1,naranja,7,280
1,1,manzana,8,31
1,1,limon,8,253
1,1,kiwi,8,75
1,1,naranja,8,72
1,1,manzana,9,5
1,1,limon,9,77
1,1,kiwi,9,85
1,1,naranja,9,112
1,1,manzana,11,1
1,1,limon,11,165
1,1,naranja,11,32
1,1,melon,11,154
1,1,manzana,12,13
1,1,limon,12,22
1,1,kiwi,12,35
1,1,naranja,12,24
1,1,melon,12,187
1,2,manzana,1,10
1,2,limon,1,396
1,2,melon,1,814
1,2,manzana,3,9
1,2,limon,3,341
1,2,kiwi,3,70
1,2,naranja,3,112
1,2,melon,3,253
1,2,manzana,4,54
1,2,limon,4,264
1,2,kiwi,4,190
1,2,naranja,4,232
1,2,melon,4,132
1,2,manzana,5,33
1,2,limon,5,473
1,2,kiwi,5,320
1,2,naranja,5,328
1,2,manzana,6,73
1,2,limon,6,363
1,2,kiwi,6,240
1,2,naranja,6,240
1,2,manzana,7,65
1,2,limon,7,715
1,2,kiwi,7,170
1,2,naranja,7,184
1,2,manzana,9,65
1,2,limon,9,671
1,2,kiwi,9,310
1,2,naranja,9,320
1,2,melon,9,77
1,2,manzana,10,65
1,2,limon,10,330
1,2,kiwi,10,180
1,2,naranja,10,552
1,2,manzana,11,61
1,2,limon,11,264
1,2,kiwi,11,170
1,2,naranja,11,384
1,2,melon,11,341
1,2,manzana,12,16
1,2,limon,12,605
1,2,kiwi,12,185
1,2,naranja,12,408
1,2,melon,12,198
2,1,limon,1,99
2,1,naranja,1,64
2,1,melon,1,308
2,1,limon,2,330
2,1,kiwi,2,10
2,1,melon,2,341
2,1,manzana,3,15
2,1,limon,3,308
2,1,kiwi,3,10
2,1,melon,3,418
2,1,manzana,4,14
2,1,limon,4,165
2,1,kiwi,4,100
2,1,naranja,4,88
2,1,melon,4,165
2,1,manzana,5,19
2,1,limon,5,429
2,1,kiwi,5,80
2,1,naranja,5,152
2,1,manzana,6,19
2,1,limon,6,33
2,1,kiwi,6,30
2,1,naranja,6,128
2,1,manzana,7,21
2,1,kiwi,7,145
2,1,naranja,7,376
2,1,manzana,8,6
2,1,limon,8,44
2,1,kiwi,8,55
2,1,naranja,8,368
2,1,manzana,10,10
2,1,limon,10,11
2,1,naranja,10,8
2,1,manzana,11,11
2,1,limon,11,88
2,1,kiwi,11,50
2,1,melon,11,132
2,1,limon,12,88
2,1,kiwi,12,60
2,1,melon,12,187
2,2,manzana,1,11
2,2,limon,1,506
2,2,naranja,1,56
2,2,melon,1,649
2,2,manzana,2,2
2,2,limon,2,286
2,2,kiwi,2,75
2,2,naranja,2,184
2,2,melon,2,726
2,2,manzana,3,12
2,2,limon,3,330
2,2,kiwi,3,10
2,2,naranja,3,128
2,2,melon,3,363
2,2,manzana,5,75
2,2,limon,5,176
2,2,kiwi,5,305
2,2,naranja,5,312
2,2,melon,5,11
2,2,manzana,6,58
2,2,limon,6,473
2,2,kiwi,6,170
2,2,naranja,6,512
2,2,melon,6,209
2,2,manzana,7,42
2,2,limon,7,451
2,2,kiwi,7,240
2,2,naranja,7,592
2,2,melon,7,154
2,2,manzana,8,70
2,2,limon,8,671
2,2,kiwi,8,255
2,2,naranja,8,256
2,2,melon,8,88
2,2,manzana,9,42
2,2,limon,9,176
2,2,kiwi,9,380
2,2,naranja,9,712
2,2,manzana,11,25
2,2,limon,11,550
2,2,kiwi,11,135
2,2,naranja,11,336
2,2,melon,11,539
2,2,manzana,12,21
2,2,limon,12,627
2,2,kiwi,12,35
2,2,naranja,12,536
2,2,melon,12,44
3,1,limon,1,154
3,1,kiwi,1,60
3,1,naranja,1,32
3,1,melon,1,506
3,1,manzana,2,13
3,1,limon,2,154
3,1,melon,2,286
3,1,manzana,3,4
3,1,limon,3,396
3,1,kiwi,3,50
3,1,melon,3,275
3,1,manzana,4,19
3,1,limon,4,231
3,1,melon,4,253
3,1,manzana,5,19
3,1,limon,5,165
3,1,kiwi,5,60
3,1,naranja,5,32
3,1,manzana,6,14
3,1,limon,6,132
3,1,naranja,6,192
3,1,manzana,7,6
3,1,kiwi,7,85
3,1,naranja,7,32
3,1,manzana,8,6
3,1,limon,8,132
3,1,kiwi,8,125
3,1,naranja,8,80
3,1,manzana,9,13
3,1,limon,9,132
3,1,kiwi,9,80
3,1,naranja,9,88
3,1,manzana,10,2
3,1,kiwi,10,75
3,1,naranja,10,24
3,1,manzana,11,13
3,1,limon,11,176
3,1,melon,11,88
3,1,limon,12,165
3,1,naranja,12,48
3,2,limon,1,143
3,2,naranja,1,264
3,2,melon,1,594
3,2,manzana,2,16
3,2,limon,2,275
3,2,kiwi,2,75
3,2,naranja,2,80
3,2,melon,2,880
3,2,manzana,3,21
3,2,limon,3,396
3,2,kiwi,3,110
3,2,naranja,3,224
3,2,melon,3,594
3,2,manzana,4,25
3,2,limon,4,528
3,2,kiwi,4,225
3,2,naranja,4,200
3,2,melon,4,220
3,2,manzana,5,59
3,2,limon,5,319
3,2,kiwi,5,290
3,2,naranja,5,648
3,2,manzana,6,91
3,2,limon,6,132
3,2,kiwi,6,185
3,2,naranja,6,440
3,2,melon,6,176
3,2,manzana,7,51
3,2,limon,7,924
3,2,kiwi,7,235
3,2,naranja,7,512
3,2,manzana,8,57
3,2,limon,8,264
3,2,kiwi,8,200
3,2,naranja,8,664
3,2,manzana,9,58
3,2,limon,9,880
3,2,kiwi,9,200
3,2,naranja,9,432
3,2,melon,9,99
3,2,manzana,10,54
3,2,limon,10,660
3,2,kiwi,10,90
3,2,naranja,10,560
3,2,melon,10,154
3,2,manzana,11,20
3,2,limon,11,682
3,2,kiwi,11,275
3,2,naranja,11,368
3,2,melon,11,418
3,2,manzana,12,42
3,2,limon,12,484
3,2,kiwi,12,175
3,2,naranja,12,448
3,2,melon,12,110
4,1,manzana,1,12
4,1,limon,1,143
4,1,kiwi,1,35
4,1,melon,1,385
4,1,limon,2,187
4,1,naranja,2,120
4,1,melon,2,143
4,1,manzana,3,3
4,1,limon,3,352
4,1,naranja,3,40
4,1,melon,3,231
4,1,manzana,4,23
4,1,limon,4,132
4,1,kiwi,4,105
4,1,naranja,4,64
4,1,melon,4,286
4,1,manzana,5,22
4,1,limon,5,165
4,1,kiwi,5,120
4,1,naranja,5,248
4,1,manzana,7,24
4,1,limon,7,154
4,1,kiwi,7,135
4,1,naranja,7,368
4,1,manzana,8,6
4,1,limon,8,11
4,1,kiwi,8,70
4,1,naranja,8,168
4,1,manzana,9,33
4,1,limon,9,33
4,1,kiwi,9,30
4,1,naranja,9,104
4,1,manzana,10,5
4,1,limon,10,154
4,1,naranja,10,72
4,1,limon,12,154
4,1,naranja,12,104
